Grupo de edad,Sexo,Fecha,Cases
00 - 04 años,M,2020-04-06,11
00 - 04 años,M,2020-04-08,18
00 - 04 años,M,2020-04-10,30
00 - 04 años,M,2020-04-13,38
00 - 04 años,M,2020-04-15,46
00 - 04 años,M,2020-04-17,52
05 - 09 años,M,2020-04-06,13
05 - 09 años,M,2020-04-08,17
05 - 09 años,M,2020-04-10,20
05 - 09 años,M,2020-04-13,27
05 - 09 años,M,2020-04-15,32
05 - 09 años,M,2020-04-17,38
10 - 14 años,M,2020-04-06,23
10 - 14 años,M,2020-04-08,31
10 - 14 años,M,2020-04-10,37
10 - 14 años,M,2020-04-13,51
10 - 14 años,M,2020-04-15,57
10 - 14 años,M,2020-04-17,71
15 - 19 años,M,2020-04-06,50
15 - 19 años,M,2020-04-08,56
15 - 19 años,M,2020-04-10,65
15 - 19 años,M,2020-04-13,77
15 - 19 años,M,2020-04-15,86
15 - 19 años,M,2020-04-17,103
20 - 24 años,M,2020-04-06,138
20 - 24 años,M,2020-04-08,175
20 - 24 años,M,2020-04-10,209
20 - 24 años,M,2020-04-13,252
20 - 24 años,M,2020-04-15,290
20 - 24 años,M,2020-04-17,327
25 - 29 años,M,2020-04-06,252
25 - 29 años,M,2020-04-08,312
25 - 29 años,M,2020-04-10,366
25 - 29 años,M,2020-04-13,434
25 - 29 años,M,2020-04-15,486
25 - 29 años,M,2020-04-17,558
30 - 34 años,M,2020-04-06,295
30 - 34 años,M,2020-04-08,353
30 - 34 años,M,2020-04-10,405
30 - 34 años,M,2020-04-13,469
30 - 34 años,M,2020-04-15,526
30 - 34 años,M,2020-04-17,578
35 - 39 años,M,2020-04-06,263
35 - 39 años,M,2020-04-08,324
35 - 39 años,M,2020-04-10,372
35 - 39 años,M,2020-04-13,423
35 - 39 años,M,2020-04-15,461
35 - 39 años,M,2020-04-17,520
40 - 44 años,M,2020-04-06,234
40 - 44 años,M,2020-04-08,284
40 - 44 años,M,2020-04-10,327
40 - 44 años,M,2020-04-13,387
40 - 44 años,M,2020-04-15,415
40 - 44 años,M,2020-04-17,455
45 - 49 años,M,2020-04-06,221
45 - 49 años,M,2020-04-08,274
45 - 49 años,M,2020-04-10,303
45 - 49 años,M,2020-04-13,357
45 - 49 años,M,2020-04-15,386
45 - 49 años,M,2020-04-17,432
50 - 54 años,M,2020-04-06,180
50 - 54 años,M,2020-04-08,220
50 - 54 años,M,2020-04-10,259
50 - 54 años,M,2020-04-13,308
50 - 54 años,M,2020-04-15,337
50 - 54 años,M,2020-04-17,376
55 - 59 años,M,2020-04-06,159
55 - 59 años,M,2020-04-08,197
55 - 59 años,M,2020-04-10,232
55 - 59 años,M,2020-04-13,268
55 - 59 años,M,2020-04-15,295
55 - 59 años,M,2020-04-17,336
60 - 64 años,M,2020-04-06,115
60 - 64 años,M,2020-04-08,145
60 - 64 años,M,2020-04-10,171
60 - 64 años,M,2020-04-13,201
60 - 64 años,M,2020-04-15,224
60 - 64 años,M,2020-04-17,258
65 - 69 años,M,2020-04-06,82
65 - 69 años,M,2020-04-08,101
65 - 69 años,M,2020-04-10,119
65 - 69 años,M,2020-04-13,135
65 - 69 años,M,2020-04-15,151
65 - 69 años,M,2020-04-17,172
70 - 74 años,M,2020-04-06,67
70 - 74 años,M,2020-04-08,86
70 - 74 años,M,2020-04-10,100
70 - 74 años,M,2020-04-13,112
70 - 74 años,M,2020-04-15,127
70 - 74 años,M,2020-04-17,140
75 - 79 años,M,2020-04-06,48
75 - 79 años,M,2020-04-08,60
75 - 79 años,M,2020-04-10,70
75 - 79 años,M,2020-04-13,80
75 - 79 años,M,2020-04-15,88
75 - 79 años,M,2020-04-17,99
80 y más años,M,2020-04-06,40
80 y más años,M,2020-04-08,54
80 y más años,M,2020-04-10,65
80 y más años,M,2020-04-13,80
80 y más años,M,2020-04-15,92
80 y más años,M,2020-04-17,101
00 - 04 años,F,2020-04-06,15
00 - 04 años,F,2020-04-08,21
00 - 04 años,F,2020-04-10,30
00 - 04 años,F,2020-04-13,39
00 - 04 años,F,2020-04-15,46
00 - 04 años,F,2020-04-17,60
05 - 09 años,F,2020-04-06,16
05 - 09 años,F,2020-04-08,23
05 - 09 años,F,2020-04-10,31
05 - 09 años,F,2020-04-13,37
05 - 09 años,F,2020-04-15,40
05 - 09 años,F,2020-04-17,48
10 - 14 años,F,2020-04-06,23
10 - 14 años,F,2020-04-08,34
10 - 14 años,F,2020-04-10,39
10 - 14 años,F,2020-04-13,48
10 - 14 años,F,2020-04-15,50
10 - 14 años,F,2020-04-17,57
15 - 19 años,F,2020-04-06,56
15 - 19 años,F,2020-04-08,78
15 - 19 años,F,2020-04-10,89
15 - 19 años,F,2020-04-13,108
15 - 19 años,F,2020-04-15,121
15 - 19 años,F,2020-04-17,136
20 - 24 años,F,2020-04-06,144
20 - 24 años,F,2020-04-08,177
20 - 24 años,F,2020-04-10,217
20 - 24 años,F,2020-04-13,253
20 - 24 años,F,2020-04-15,284
20 - 24 años,F,2020-04-17,316
25 - 29 años,F,2020-04-06,281
25 - 29 años,F,2020-04-08,344
25 - 29 años,F,2020-04-10,403
25 - 29 años,F,2020-04-13,477
25 - 29 años,F,2020-04-15,518
25 - 29 años,F,2020-04-17,574
30 - 34 años,F,2020-04-06,297
30 - 34 años,F,2020-04-08,357
30 - 34 años,F,2020-04-10,413
30 - 34 años,F,2020-04-13,494
30 - 34 años,F,2020-04-15,550
30 - 34 años,F,2020-04-17,603
35 - 39 años,F,2020-04-06,263
35 - 39 años,F,2020-04-08,316
35 - 39 años,F,2020-04-10,358
35 - 39 años,F,2020-04-13,419
35 - 39 años,F,2020-04-15,459
35 - 39 años,F,2020-04-17,514
40 - 44 años,F,2020-04-06,217
40 - 44 años,F,2020-04-08,272
40 - 44 años,F,2020-04-10,314
40 - 44 años,F,2020-04-13,369
40 - 44 años,F,2020-04-15,414
40 - 44 años,F,2020-04-17,472
45 - 49 años,F,2020-04-06,204
45 - 49 años,F,2020-04-08,249
45 - 49 años,F,2020-04-10,283
45 - 49 años,F,2020-04-13,338
45 - 49 años,F,2020-04-15,367
45 - 49 años,F,2020-04-17,422
50 - 54 años,F,2020-04-06,180
50 - 54 años,F,2020-04-08,237
50 - 54 años,F,2020-04-10,271
50 - 54 años,F,2020-04-13,315
50 - 54 años,F,2020-04-15,336
50 - 54 años,F,2020-04-17,375
55 - 59 años,F,2020-04-06,143
55 - 59 años,F,2020-04-08,185
55 - 59 años,F,2020-04-10,213
55 - 59 años,F,2020-04-13,243
55 - 59 años,F,2020-04-15,283
55 - 59 años,F,2020-04-17,321
60 - 64 años,F,2020-04-06,113
60 - 64 años,F,2020-04-08,138
60 - 64 años,F,2020-04-10,155
60 - 64 años,F,2020-04-13,188
60 - 64 años,F,2020-04-15,211
60 - 64 años,F,2020-04-17,234
65 - 69 años,F,2020-04-06,67
65 - 69 años,F,2020-04-08,84
65 - 69 años,F,2020-04-10,99
65 - 69 años,F,2020-04-13,119
65 - 69 años,F,2020-04-15,140
65 - 69 años,F,2020-04-17,155
70 - 74 años,F,2020-04-06,58
70 - 74 años,F,2020-04-08,69
70 - 74 años,F,2020-04-10,82
70 - 74 años,F,2020-04-13,95
70 - 74 años,F,2020-04-15,110
70 - 74 años,F,2020-04-17,127
75 - 79 años,F,2020-04-06,41
75 - 79 años,F,2020-04-08,48
75 - 79 años,F,2020-04-10,57
75 - 79 años,F,2020-04-13,64
75 - 79 años,F,2020-04-15,71
75 - 79 años,F,2020-04-17,85
80 y más años,F,2020-04-06,37
80 y más años,F,2020-04-08,58
80 y más años,F,2020-04-10,88
80 y más años,F,2020-04-13,107
80 y más años,F,2020-04-15,117
80 y más años,F,2020-04-17,137
